zone_id,Zone,Borough_original,avg_actual,avg_pred,MAE,MAPE,num_hours
187,Port Richmond,Staten Island,1.0,1.03,0.03,2.5,2
199,Rikers Island,Bronx,1.0,1.03,0.06,6.24,4
214,South Beach/Dongan Hills,Staten Island,1.0,1.11,0.12,11.92,12
48,Clinton East,Manhattan,100.32,99.72,12.41,14.99,2184
154,Marine Park/Floyd Bennett Field,Brooklyn,1.02,1.02,0.18,17.08,83
230,Times Sq/Theatre District,Manhattan,140.93,140.05,17.22,17.3,2184
107,Gramercy,Manhattan,81.83,81.33,10.07,19.34,2180
27,Breezy Point/Fort Tilden/Riis Beach,Queens,1.0,1.02,0.2,19.84,18
73,East Flushing,Queens,1.04,1.09,0.22,20.05,164
141,Lenox Hill West,Manhattan,99.23,97.96,11.08,20.05,2181
162,Midtown East,Manhattan,157.38,154.37,16.73,20.15,2181
163,Midtown North,Manhattan,126.52,125.14,13.64,20.29,2183
46,City Island,Bronx,1.07,1.16,0.23,20.45,132
192,Queensboro Hill,Queens,1.07,1.11,0.24,20.76,227
184,Pelham Bay Park,Bronx,1.06,1.15,0.23,21.0,33
164,Midtown South,Manhattan,91.51,90.48,11.65,21.04,2182
2,Jamaica Bay,Queens,1.0,1.03,0.21,21.09,15
249,West Village,Manhattan,89.87,89.95,10.96,21.4,2183
90,Flatiron,Manhattan,65.92,65.06,8.78,21.45,2182
229,Sutton Place/Turtle Bay North,Manhattan,72.41,72.08,9.28,21.71,2178
161,Midtown Center,Manhattan,209.63,203.85,21.97,21.9,2184
100,Garment District,Manhattan,63.49,63.61,9.87,21.96,2183
5,Arden Heights,Staten Island,1.0,0.78,0.22,21.99,1
79,East Village,Manhattan,92.79,92.45,11.61,22.07,2184
170,Murray Hill,Manhattan,121.06,119.75,12.49,22.74,2178
186,Penn Station/Madison Sq West,Manhattan,161.39,159.35,24.65,22.75,2184
263,Yorkville West,Manhattan,76.79,76.06,9.72,22.79,2180
68,East Chelsea,Manhattan,116.1,115.23,13.33,22.87,2181
64,Douglaston,Queens,1.07,1.12,0.26,23.14,180
190,Prospect Park,Brooklyn,1.11,1.14,0.29,23.25,256
253,Willets Point,Queens,1.06,1.04,0.26,23.29,34
175,Oakland Gardens,Queens,1.1,1.16,0.27,23.34,205
251,Westerleigh,Staten Island,1.0,1.23,0.24,23.54,5
54,Columbia Street,Brooklyn,1.07,1.13,0.27,23.71,221
23,Bloomfield/Emerson Hill,Staten Island,1.09,1.01,0.26,23.75,11
96,Forest Park/Highland Park,Queens,1.02,1.16,0.25,24.06,48
234,Union Sq,Manhattan,120.02,118.7,12.43,24.59,2169
58,Country Club,Bronx,1.02,1.05,0.26,24.66,62
118,Heartland Village/Todt Hill,Staten Island,1.0,1.21,0.25,24.68,15
30,Broad Channel,Queens,1.0,1.25,0.25,24.73,5
59,Crotona Park,Bronx,1.0,1.25,0.25,24.85,9
237,Upper East Side South,Manhattan,239.38,234.09,22.43,25.06,2172
53,College Point,Queens,1.11,1.17,0.3,25.66,326
98,Fresh Meadows,Queens,1.1,1.16,0.3,25.76,286
207,Saint Michaels Cemetery/Woodside,Queens,1.16,1.18,0.33,25.91,381
252,Whitestone,Queens,1.1,1.18,0.3,26.03,241
140,Lenox Hill East,Manhattan,84.37,83.51,10.82,26.23,2176
111,Green-Wood Cemetery,Brooklyn,1.0,1.26,0.26,26.26,11
137,Kips Bay,Manhattan,41.0,40.8,7.08,26.75,2180
8,Astoria Park,Queens,1.02,1.07,0.28,26.89,54
171,Murray Hill-Queens,Queens,1.18,1.19,0.35,27.0,328
31,Bronx Park,Bronx,1.05,1.07,0.29,27.06,111
183,Pelham Bay,Bronx,1.2,1.2,0.36,27.29,351
9,Auburndale,Queens,1.07,1.16,0.3,27.37,201
173,North Corona,Queens,1.18,1.2,0.36,27.39,378
180,Ozone Park,Queens,1.22,1.22,0.36,27.43,409
101,Glen Oaks,Queens,1.14,1.21,0.34,28.0,259
239,Upper West Side South,Manhattan,115.07,113.87,13.55,28.59,2158
233,UN/Turtle Bay South,Manhattan,44.39,44.56,7.24,28.64,2144
221,Stapleton,Staten Island,1.0,1.08,0.29,28.95,5
178,Ocean Parkway South,Brooklyn,1.22,1.22,0.38,29.2,321
16,Bayside,Queens,1.13,1.17,0.35,29.62,327
15,Bay Terrace/Fort Totten,Queens,1.14,1.2,0.36,29.69,187
257,Windsor Terrace,Brooklyn,1.15,1.17,0.36,29.82,416
206,Saint George/New Brighton,Staten Island,1.0,1.16,0.3,29.89,11
201,Rockaway Park,Queens,1.25,1.24,0.42,30.37,451
238,Upper West Side North,Manhattan,79.79,79.39,10.7,30.8,2155
19,Bellerose,Queens,1.16,1.21,0.38,30.81,379
236,Upper East Side North,Manhattan,202.45,197.73,20.65,31.0,2138
122,Hollis,Queens,1.22,1.27,0.4,31.11,403
153,Marble Hill,Manhattan,1.14,1.2,0.36,31.44,253
217,South Williamsburg,Brooklyn,1.25,1.25,0.42,31.68,544
84,Eltingville/Annadale/Prince's Bay,Staten Island,1.33,1.38,0.41,31.97,3
142,Lincoln Square East,Manhattan,140.1,139.02,21.0,32.2,2170
160,Middle Village,Queens,1.29,1.28,0.44,32.23,504
6,Arrochar/Fort Wadsworth,Staten Island,1.02,1.17,0.33,32.82,119
67,Dyker Heights,Brooklyn,1.26,1.3,0.43,32.83,413
102,Glendale,Queens,1.15,1.27,0.39,33.1,412
1,Newark Airport,EWR,1.21,1.09,0.46,33.48,354
147,Longwood,Bronx,1.32,1.3,0.47,33.6,542
150,Manhattan Beach,Brooklyn,1.34,1.3,0.47,33.72,508
231,TriBeCa/Civic Center,Manhattan,58.41,57.62,8.57,33.76,2154
94,Fordham South,Bronx,1.31,1.3,0.47,34.13,517
105,Governor's Island/Ellis Island/Liberty Island,Manhattan,1.0,1.34,0.34,34.14,3
11,Bath Beach,Brooklyn,1.25,1.29,0.45,34.47,404
3,Allerton/Pelham Gardens,Bronx,1.31,1.27,0.48,34.81,502
133,Kensington,Brooklyn,1.3,1.34,0.47,35.0,550
135,Kew Gardens Hills,Queens,1.27,1.32,0.46,35.09,538
106,Gowanus,Brooklyn,1.24,1.32,0.45,35.3,538
113,Greenwich Village North,Manhattan,61.84,61.25,8.92,35.78,2141
124,Howard Beach,Queens,1.26,1.33,0.47,35.82,555
189,Prospect Heights,Brooklyn,1.39,1.36,0.52,36.52,900
132,JFK Airport,Queens,229.84,229.5,33.87,36.91,2180
200,Riverdale/North Riverdale/Fieldston,Bronx,1.38,1.35,0.53,36.97,582
20,Belmont,Bronx,1.3,1.33,0.49,37.03,586
75,East Harlem South,Manhattan,25.93,25.88,5.72,37.03,2107
172,New Dorp/Midland Beach,Staten Island,1.0,1.13,0.37,37.43,10
196,Rego Park,Queens,1.42,1.4,0.54,37.8,784
198,Ridgewood,Queens,1.39,1.37,0.53,37.88,730
185,Pelham Parkway,Bronx,1.4,1.36,0.54,37.91,631
208,Schuylerville/Edgewater Park,Bronx,1.39,1.37,0.54,38.12,595
136,Kingsbridge Heights,Bronx,1.39,1.4,0.53,38.17,760
131,Jamaica Estates,Queens,1.34,1.39,0.52,38.34,542
40,Carroll Gardens,Brooklyn,1.35,1.32,0.52,38.45,666
212,Soundview/Bruckner,Bronx,1.39,1.38,0.55,38.7,615
109,Great Kills,Staten Island,1.0,1.39,0.39,38.79,3
60,Crotona Park East,Bronx,1.43,1.42,0.55,38.8,666
38,Cambria Heights,Queens,1.35,1.37,0.53,38.95,574
151,Manhattan Valley,Manhattan,31.46,32.12,6.15,39.05,2063
126,Hunts Point,Bronx,1.38,1.42,0.54,39.07,634
50,Clinton West,Manhattan,23.36,23.16,5.88,39.08,2128
28,Briarwood/Jamaica Hills,Queens,1.43,1.4,0.55,39.12,842
115,Grymes Hill/Clifton,Staten Island,1.12,0.92,0.44,39.36,8
99,Freshkills Park,Staten Island,1.0,1.39,0.39,39.41,1
166,Morningside Heights,Manhattan,18.63,18.96,4.44,39.43,2074
57,Corona,Queens,1.23,1.36,0.54,39.58,62
156,Mariners Harbor,Staten Island,1.57,1.41,0.67,39.6,7
158,Meatpacking/West Village West,Manhattan,38.85,38.81,7.5,39.7,2144
83,Elmhurst/Maspeth,Queens,1.34,1.37,0.54,39.76,647
262,Yorkville East,Manhattan,57.03,56.19,9.03,40.14,2091
227,Sunset Park East,Brooklyn,1.43,1.44,0.57,40.23,633
143,Lincoln Square West,Manhattan,45.56,46.19,8.38,40.5,2096
32,Bronxdale,Bronx,1.47,1.47,0.58,40.59,714
